Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
EPRT,"Essential Properties Realty Trust, Inc.",19,1988759849,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/eprt
WTRG,"Essential Utilities, Inc.",46.37,11373249981,n/a,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtrg
WTRU,"Essential Utilities, Inc.",59.84,0,n/a,2019,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtru
ESS,"Essex Property Trust, Inc.",246.75,16089240972,n/a,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ess
EL,"Estee Lauder Companies, Inc. (The)",248.23,89761369010,n/a,1995,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/el
ETH,Ethan Allen Interiors Inc.,17.13,429159294.7,n/a,1993,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/eth
EURN,Euronav NV,8.07,1645915559,n/a,2015,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/eurn
EEA,"European Equity Fund, Inc. (The)",9.67,72092103.11,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eea
EB,"Eventbrite, Inc.",12.9,1182231130,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/eb
EVR,Evercore Inc.,85.66,3480517675,n/a,2006,Finance,Investment Managers,https://old.nasdaq.com/symbol/evr
RE,"Everest Re Group, Ltd.",235.03,9394571214,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/re
EVRG,"Evergy, Inc.",57.3,12997462140,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/evrg
EVRI,Everi Holdings Inc.,10.26,881623865.5,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/evri
ES,Eversource Energy,94.42,32354697075,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/es
EVTC,"Evertec, Inc.",36.04,2591527667,n/a,2013,Technology,EDP Services,https://old.nasdaq.com/symbol/evtc
EVH,"Evolent Health, Inc",12.88,1104830158,n/a,2015,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evh
AQUA,Evoqua Water Technologies Corp.,26.76,3136255623,n/a,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aqua
XAN,Exantas Capital Corp.,2.54,81517045.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/xan
XAN^C,Exantas Capital Corp.,18.62,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/xan^c
ENPC.U,Executive Network Partnering Corporation,n/a,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/enpc.u
EXPR,"Express, Inc.",0.8524,55267687.02,n/a,2010,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/expr
EXTN,Exterran Corporation,3.4,112631715,n/a,2015,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/extn
EXR,Extra Space Storage Inc,117.99,15248476469,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/exr
XOM,Exxon Mobil Corporation,36.48,1.54E+11,n/a,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/xom
FNB,F.N.B. Corporation,8.57,2764980373,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/fnb
FNB^E,F.N.B. Corporation,28.09,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fnb^e
FN,Fabrinet,68.63,2535085892,n/a,2010,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/fn
FDS,FactSet Research Systems Inc.,335.15,12732982604,n/a,1996,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/fds
FICO,Fair Isaac Corporation,471.78,13681334101,n/a,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/fico
SFUN,Fang Holdings Limited,10.35,92881075.95,n/a,2010,Technology,EDP Services,https://old.nasdaq.com/symbol/sfun
FTCH,Farfetch Limited,42.59,14475312622,n/a,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ftch
FPI,Farmland Partners Inc.,7.65,226408964,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fpi
FPI^B,Farmland Partners Inc.,25.2499,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fpi^b
FST,FAST Acquisition Corp.,9.69,1156735136,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fst
FST.U,FAST Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/fst.u
FST.WS,FAST Acquisition Corp.,n/a,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/fst.ws
FSLY,"Fastly, Inc.",72.01,8173135000,n/a,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/fsly
FBK,FB Financial Corporation,31.14,1469768670,n/a,2016,Finance,Major Banks,https://old.nasdaq.com/symbol/fbk
FFG,"FBL Financial Group, Inc.",50.77,1238509933,n/a,1996,Finance,Life Insurance,https://old.nasdaq.com/symbol/ffg
AGM,Federal Agricultural Mortgage Corporation,68.35,733589272.3,n/a,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm.a
AGM^C,Federal Agricultural Mortgage Corporation,27.07,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^c
AGM^D,Federal Agricultural Mortgage Corporation,27.09,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^d
AGM^E,Federal Agricultural Mortgage Corporation,27.24,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^e
AGM^F,Federal Agricultural Mortgage Corporation,26.84,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agm^f
FRT,Federal Realty Investment Trust,90.32,6832449865,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/frt
FRT^C,Federal Realty Investment Trust,26.17,0,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/frt^c
FSS,Federal Signal Corporation,32.63,1974878999,n/a,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/fss
FMN,Federated Hermes Premier Municipal Income Fund,14.42,165816949.9,n/a,2002,n/a,n/a,https://old.nasdaq.com/symbol/fmn
FHI,"Federated Hermes, Inc.",26.58,2641199925,n/a,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/fhi
FDX,FedEx Corporation,267.81,70324762984,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/fdx
RACE,Ferrari N.V.,209.27,51918801307,n/a,2015,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/race
FOE,Ferro Corporation,13.97,1149599919,n/a,n/a,Basic Industries,Paints/Coatings,https://old.nasdaq.com/symbol/foe
FGNA.U,FG New America Acquisition Corp.,n/a,0,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/fgna.u
