Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BVH,Bluegreen Vacations Holding Corporation,10.81,208824196.5,,2017.0,Finance,Real Estate,https://old.nasdaq.com/symbol/bvh
BXC,BlueLinx Holdings Inc.,22.42,212127726.8,,2004.0,Capital Goods,Wholesale Distributors,https://old.nasdaq.com/symbol/bxc
BA,Boeing Company (The),182.15,103000000000.0,,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/ba
BCC,"Boise Cascade, L.L.C.",41.18,1614306487.0,,2013.0,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/bcc
BCEI,"Bonanza Creek Energy, Inc.",21.73,452732098.7,,2017.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/bcei
BOOT,"Boot Barn Holdings, Inc.",39.29,1134180540.0,,2014.0,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/boot
BAH,Booz Allen Hamilton Holding Corporation,86.03,11863549905.0,,2010.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/bah
BQ,Boqii Holding Limited,5.44,493696396.2,,2020.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/bq
BWA,BorgWarner Inc.,38.56,9428639761.0,,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/bwa
BORR,Borr Drilling Limited,0.6096,127320440.3,,2019.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/borr
SAM,"Boston Beer Company, Inc. (The)",958.4,11733315507.0,,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/sam
BXP,"Boston Properties, Inc.",90.8,14133886141.0,,1997.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bxp
BSX,Boston Scientific Corporation,37.4,53553862567.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/bsx
BOX,"Box, Inc.",16.63,2603339791.0,,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/box
BYD,Boyd Gaming Corporation,33.74,3763363075.0,,1993.0,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/byd
BPMP,BP Midstream Partners LP,10.62,1112747691.0,,2017.0,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/bpmp
BP,BP p.l.c.,18.88,63775410836.0,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/bp
BPT,BP Prudhoe Bay Royalty Trust,1.85,39590000.0,,,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/bpt
BRC,Brady Corporation,43.22,2247670795.0,,,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/brc
BHR,Braemar Hotels & Resorts Inc.,3.44,115336320.0,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bhr
BDN,Brandywine Realty Trust,10.1,1722786936.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bdn
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,4.53,268821438.9,,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/lnd
BAK,Braskem S.A.,8.82,3509229100.0,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/bak
BRFS,BRF S.A.,3.59,2899668712.0,,,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/brfs
MNRL,"Brigham Minerals, Inc.",10.6,598725630.0,,2019.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mnrl
BFAM,Bright Horizons Family Solutions Inc.,168.02,10149922364.0,,2013.0,Miscellaneous,Other Consumer Services,https://old.nasdaq.com/symbol/bfam
BEDU,Bright Scholar Education Holdings Limited,6.5,783569384.0,,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/bedu
